años_experiencia,experiencia,modalidad,formación_académica,sector,tipo_de_empleo,beneficios,Ciudad,Salario_medio,Rango_Salarial,Titulo_Habilidades
,,Presencial,Ninguna,Servicios,Jornada completa,,Madrid,,,"Agente Comercial - Sin Experiencia Actitud comercial, habilidades comunicativas, proactividad, actitud positiva, orientación a objetivos"
5.0,intern,Presencial,Grado Universitario,Bienes de consumo,Prácticas,,Madrid,,,"Senior Manager - BCG Vantage, Credit Risk Liderazgo en resolución de problemas y soluciones para clientes, desarrollo y comercialización de conocimientos y activos, comunicación efectiva con stakeholders senior, experiencia en diseño, desarrollo e implementación de modelos de riesgo crediticio, conocimiento de inteligencia artificial en gestión de riesgos crediticios, fluidez en inglés y alemán, habilidades interpersonales y de comunicación excelentes, agudeza comercial"
3.0,junior,,Ninguna,Transporte y Logística,,,Madrid,,,"RESPONSABLE DE ALMACÉN ALCALÁ DE HENARES H/M Gestión de equipos, conocimientos en logística, manejo de Microsoft Office, inglés, francés"
2.0,junior,Presencial,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Madrid,36000.0,30.000-40.000,"Electronics and electrical appliances -Sales Senior Executive Licenciatura en Negocios Internacionales, cadena de suministro de Textil o Electrónica de Consumo o Industria TIC, excelente dominio del inglés y francés, experiencia en gestión de equipos, experiencia en importación/exportación, sourcing, trading o actividades de cadena de suministro, fuerte historial de éxito en ventas B2B, habilidades en generación de leads, prospección y cierre de ventas, capacidad para trabajar en horarios que se alineen con el mercado objetivo, orientación a ventas, independencia, madurez y valoración de la integridad, ambición para trabajar en un entorno en crecimiento con oportunidades de tomar roles gerenciales"
1.0,junior,Presencial,Grado Universitario,Economía y política,Jornada completa,,Madrid,15600.0,15.000-22.000,"Profesora/a de Física 2ºBachillerato - Pinto Profesor, enseñanza, física, trabajo en equipo, habilidades de comunicación, certificado de aptitud pedagógica, CAP/MAES"
3.0,junior,,Grado Universitario,Transporte y Logística,Jornada completa,,Madrid,,,"RESPONSABLE DE ALMACEN TORREJÓN DE ARDOZ H/M Gestión de equipos, turnos operativos, liderazgo, comunicación, manejo de Microsoft Office, Infolog, herramientas de planificación y reporting, inglés, francés"
,,Presencial,Ninguna,Internet,Temporal,,Madrid,,,"Gestor/A Calidad Sector Inmobiliario Con Portugues C.Indefinido Fines De Semana De 10h A 18h Capacidad para trabajar con varias herramientas simultáneamente, persona dinámica, resolutiva y con alto ritmo de trabajo, buena comunicación oral y escrita, gestión de tareas como revisión de anuncios, activación y resolución de incidencias"
0.0,intern,Hibrido,Ninguna,Servicios,Jornada completa,,Madrid,,,"Customer Service Specialist 24/7 Atención al cliente, gestión de contratos, administración de reclamaciones, comunicación por teléfono y correo electrónico, habilidades interpersonales, atención al detalle, organización, responsividad"
1.0,junior,Presencial,Ninguna,Servicios,Temporal,,Madrid,17076.0,15.000-22.000,"Coordinador/a de Programas de Call Center Inglés C1/Nativo, Excel avanzado, análisis de datos, seguimiento de KPIs, trabajo en equipo, comunicación, liderazgo, tolerancia al estrés"
1.0,junior,Presencial,Ninguna,Economía y política,Media jornada,,Madrid,12000.0,<15.000,"Profesor/a de Matemáticas, Física y Programación Bilingüe Bilingüismo, nivel alto de inglés, preparación y creación de materiales didácticos, comunicación y cooperación con otros docentes, monitoreo del progreso de los alumnos, asistencia en la revisión y edición de materiales"
,,Presencial,FP Superior,Comercio electrónico,Jornada completa,,Madrid,33360.0,30.000-40.000,"2X Independent working cook I for Noord-Oost Chinees Eethuis in 's-Gravenhage, NLD Conocimientos de técnicas de cocina básicas, gestión de inventario, ordenes de compra, trabajo en equipo"
3.0,senior,Presencial,Ninguna,Economía y política,Jornada completa,,Madrid,95000.0,80.000-100.000,"Head of Secondary Comunicación, liderazgo, resolución de problemas, empatía, conocimiento de IB MYP o IB DP, habilidades de marketing y admisiones, gestión de personal, seguridad y cuidado pastoral, promoción de la igualdad y diversidad, habilidades de equipo, habilidades de liderazgo educativo"
,,,Ninguna,Comercio minorista y comercio,,,Madrid,,,"Supervisor de tienda/ Team Leader- Centro Comercial Islazul Liderazgo, comunicación, motivación, gestión de equipos, habilidades comerciales, servicio al cliente"
,,Hibrido,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Madrid,,,"Business Developer Escucha activa, empatía, actitud positiva, perseverancia, iniciativa, capacidad de adaptación, comunicación clara, experiencia comercial en el sector ETT o RRHH, permiso de conducir, grado universitario en ADE"
3.0,junior,Presencial,Ninguna,Bienes de consumo,Jornada completa,,Madrid,,,"Responsable de Tienda - Madrid Ventas, gestión de equipos, seguimiento de indicadores comerciales, servicio al cliente, inglés profesional, merchandising, gestión administrativa, liderazgo, comunicación efectiva"
,,,Ninguna,Tecnología y telecomunicaciones,,,Madrid,,,"Product Manager Product Management, People Management, Understanding the Customer, Product Development, Requirements Analysis, Pricing, Planning, Competitive Analysis, Sales Planning, Inventory Control, Financial Planning and Strategy"
2.0,junior,Presencial,Ninguna,Finanzas y seguros,Jornada completa,,Madrid,19000.0,15.000-22.000,"Gestor/a Comercial de Hipotecas Comunicación, persuasión, orientación al cliente, gestión de CRM, herramientas digitales"
,,Presencial,FP Superior,Servicios,Jornada completa,,Madrid,39000.0,30.000-40.000,"NUEVA APERTURA EN IRLANDA: únete a nuestro equipo en nuestra nueva Escuela Infantil en Blessington Carácter cercano, cariñoso y dinámico, capacidad para trabajar en equipo, buen conocimiento de Aistear y Síolta"
1.0,junior,Presencial,ESO,Servicios,Temporal,,Madrid,17500.0,15.000-22.000,"RECURSO PREVENTIVO - RIVAS VACIAMADRID - ILUNION SERVICIOS INDUSTRIALES Manejo de paquete office y correo electrónico, capacidad de gestión con trabajadores y responsables de departamento, habilidades de comunicación y empatía"
1.0,junior,Presencial,Grado Universitario,Energía y medio ambiente,Jornada completa,,Madrid,,,Puestos vacantes: Técnico/a de Operación - Centro de Operación de Red Conocimiento y uso de sistemas SCADA
,,Presencial,Grado Universitario,Servicios,Jornada completa,,Madrid,,,"ILUNION TextilCare Técnico Unidad de Apoyo Fuenlabrada Detección y comunicación de procesos de deterioro evolutivo, intervención sociolaboral, desarrollo de programas formativos, potenciación de la autonomía e independencia, mediación en conflictos laborales, trabajo en equipo interdepartamental, aplicación de medidas de apoyo, facilitación de información sobre ayudas y prestaciones"
,,,Ninguna,Transporte y Logística,,,Madrid,,,"Planificador de Taller Conocimiento técnico de mecánica y mantenimiento de vehículos, habilidades de comunicación y coordinación, planificación y organización, orientación a la eficiencia y cumplimiento de procedimientos de seguridad (EHS)"
1.0,junior,,FP Superior,Servicios,Temporal,,Madrid,,,"Cocinero/a Elaboración de menús, realización de pedidos, control y mantenimiento de maquinaria y materiales, limpieza de menaje y áreas de cocina, recepción de materia prima y albaranes, registros de APPCC, trabajo en equipo, comunicación"
0.0,intern,Presencial,Ninguna,Comercio minorista y comercio,Media jornada,,Madrid,34200.0,30.000-40.000,"Venta telefónica Pasión por la venta, orientación a objetivos, escucha activa, empatía, capacidad de persuasión"
0.0,intern,Presencial,Postgrado,Energía y medio ambiente,Media jornada,,Madrid,,,"Puestos vacantes: Prácticas en Comunicación Wordpress, Sharepoint, Office 365, Adobe, redes sociales, web, edición de videos, redacción, creación y adaptación de contenidos de comunicación, diseño de piezas/materiales de comunicación, agilidad, polivalencia, atención al cliente, proactividad, habilidades sociales, autonomía"
0.0,intern,Presencial,Ninguna,Productos químicos y recursos,Jornada completa,,Madrid,62040.0,40.000-65.000,"Plegador/a - Punzonador/a manejo de punzonadora, manejo de plegadora, ajustar parámetros, sincronizar equipos, corte de materiales gráficos, plegado"
0.0,intern,Presencial,ESO,Internet,Jornada completa,,Madrid,22440.0,22.000-30.000,"Agente inmobiliario Atención al cliente, ventas, don de gentes, trabajo en equipo, captación y valoración de inmuebles, gestión de cartera de clientes, preparación de documentación para firmas ante notario"
0.0,intern,Presencial,Ninguna,Energía y medio ambiente,Jornada completa,,Madrid,,,"Call Center Agent - Österreichischer Markt - Madrid, Spanien Vertrieb, Telefonische Beratung, Kundenbedürfnisse identifizieren, Zielorientierung, Durchhaltevermögen, Ehrgeiz, Begeisterung für Herausforderungen"
3.0,senior,Hibrido,Grado Universitario,Servicios,Jornada completa,,Madrid,25000.0,22.000-30.000,"Asesor/a Laboral Dominio del Derecho Laboral, Negociación Colectiva, Sistema RED, SILTRA, Software de Nóminas (A3nom, Nominasol, Sage), atención al cliente, organización, gestión de plazos"
0.0,intern,Presencial,Grado Universitario,Energía y medio ambiente,Media jornada,,Madrid,,,"Puestos vacantes: Programa de Prácticas 2026 - Administración de Empresas Excel avanzado, Power BI, inglés B2 o superior, análisis y gestión de datos"
5.0,senior,,Grado Universitario,Energía y medio ambiente,,,Madrid,,,"Product Designer UX/UI Design, User centered design, Design thinking, Design system, usabilidad, accesibilidad, Sketch, Figma, Adobe Creative Suite"
3.0,senior,Presencial,Ninguna,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Madrid,,,"Director/a Clínica Dental RRHH, formación, gestión comercial, cierre de presupuestos, optimización de herramientas de financiación, organización operativa, control de KPIs, manejo avanzado de Gesden, análisis de datos"
0.0,intern,Presencial,Grado Universitario,Energía y medio ambiente,Jornada completa,,Madrid,,,"Puestos vacantes: Gestor/a de Proyectos de Contratación Excel (tablas dinámicas, fórmulas, análisis cruzado), Power Automate, Power BI, comunicación, trabajo en equipo, análisis de datos, resolución de problemas, inglés B2"
0.0,intern,Presencial,Postgrado,Energía y medio ambiente,Media jornada,,Madrid,,,"Prácticas en Comunicación Wordpress, Sharepoint, Office 365, Adobe Creative Suite, redes sociales, edición de videos, redacción, creación de contenidos, diseño de piezas de comunicación, agilidad, polivalencia, atención al cliente, proactividad, habilidades sociales, autonomía"
,,Presencial,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Madrid,,,"Fisioterapeuta Centro de día con/sin discapacidad Fisioterapia, enfermería, trabajo en equipo, atención al usuario"
0.0,intern,,Grado Universitario,Energía y medio ambiente,Prácticas,,Madrid,,,"Prácticas Gobierno del Dato Power BI, Metodología de gestión de datos"
0.0,intern,Presencial,Ninguna,Transporte y Logística,Jornada completa,,Madrid,20400.0,15.000-22.000,"Repartidor/ra carnet Tipo C - Madrid Carné de conducir tipo C, capacidad para realizar trabajo físico intenso, manipulación de cargas pesadas, gestión de cobros (TPV o efectivo), disponibilidad para trabajar temprano y fines de semana"
,,Presencial,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Media jornada,,Madrid,,,"Fisioterapeuta con/sin discapacidad - Centro de día Valoración de usuarios, atención a personas mayores, trabajo en equipo, participación en reuniones interdisciplinares, realización de tratamientos rehabilitadores, conocimiento de material y equipamiento, organización de actividades, control de stock de material de fisioterapia"
3.0,senior,Hibrido,Ninguna,Servicios,Jornada completa,,Madrid,,,"Tutor/a Senior - Formalización Hipotecas Formalización de operaciones hipotecarias, realización de cuadres jurídicos y financieros, revisión y análisis de notas registrales, elaboración de provisiones de fondos y minutas, preparación y envío de manifiestos, contacto con organismos como notarias y registros, análisis exhaustivo de operaciones hipotecarias y bienes hipotecados, gestión documental de escrituras, conocimientos de impuestos, certificación LCCI - Ley de Contratos de Crédito Inmobiliario"
2.0,junior,Remoto,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Madrid,27000.0,22.000-30.000,"Fisioterapeuta doble grado Entrenador personal, conocimientos en patologías, fisioterapia"
,,,Ninguna,Transporte y Logística,,,Madrid,,,"Técnico de Remolques Experiencia mecánica, remolques, HGV, vehículos pesados, mentalidad proactiva, sentido del humor, trabajo en equipo"
,,,Ninguna,"Salud, Farmacia y Tecnología Médica",,,Madrid,,,"HOST FINDES TORREJÓN - SPAIN Comunicación, habilidades comerciales, trabajo en equipo, orientación al cliente, inglés"
,,,Ninguna,Tecnología y telecomunicaciones,,,Madrid,,,"Web Developer JavaScript, JQuery, HTML, HTML5, CSS, CSS3, Web Programming Skills, E-Commerce, teamwork, verbal communication, cross-browser compatibility, Web User Interface Design (UI), security principles, Object-Oriented Design, Web Services (REST/SOAP), Multimedia Content Development, API's"
2.0,junior,,Ninguna,Servicios,,,Madrid,,,"Gestión Sport Bar zona Vicálvaro gestión de negocios, liderazgo de equipos, atención al cliente, conocimientos en hostelería, restauración o salas de juego"
1.0,junior,,Ninguna,Medios de comunicación,Jornada completa,,Madrid,,,"Chapista - INDEFINIDO Reparación de carrocerías, soldadura, desabollado, estirado, lijado, trabajo en equipo"
,,Hibrido,Ninguna,Finanzas y seguros,Jornada completa,,Madrid,19000.0,15.000-22.000,"Gestor/a Hipotecario Conocimiento del proceso hipotecario, habilidades comerciales, capacidad de venta consultiva, orientación a resultados, dotes comunicativos"
,,Presencial,FP Superior,"Salud, Farmacia y Tecnología Médica",Temporal,,Madrid,,,"Gerocultor/a. Turno Mañana. Empatía, responsabilidad, innovación, compromiso, ayuda al cliente, trabajo en equipo, registro de seguimiento de residentes, comunicación con familias"
2.0,junior,,Ninguna,Finanzas y seguros,,,Madrid,,,"VENDEDOR/A MUEBLES DE COCINA Y HOGAR administrador de proyectos, trato al cliente, capacidad de escucha, soluciones creativas y personalizadas, informática a nivel usuario, permiso de conducción, vehículo propio"
3.0,junior,Hibrido,Ninguna,Economía y política,Jornada completa,,Madrid,25000.0,22.000-30.000,"Profesor de alemán Deutschunterricht, Spanisch, telc"
,,Presencial,Grado Universitario,Servicios,Jornada completa,,Madrid,,,"Técnico de desarrollo social con discapacidad Boadilla del Monte Intervención sociolaboral, desarrollo de programas formativos, mediación en conflictos laborales, trabajo en equipo interdepartamental, comunicación efectiva, habilidades de liderazgo, formación en psicología, pedagogía, psicopedagogía, trabajo social, educación social"
0.0,intern,Presencial,FP Superior,Tecnología y telecomunicaciones,Jornada completa,,Madrid,25500.0,22.000-30.000,"Técnico/a Electronico Manejo de instrumentación de analizador de espectro, analizador de redes, generador de señales, osciloscopios"
,,,FP Superior,Deportes y recreación,,,Madrid,,,"BIM Modeler BIM, Revit (MEP), point cloud modelling, clash detection, Autodesk DOCS, Smartsheet, Dynamo/Python, MS Office, communication skills"
,,Presencial,Grado Universitario,Economía y política,Jornada completa,,Madrid,33280.0,30.000-40.000,"Maestro as de educacion infantil in Irlanda - Evento de reclutamiento Capacitación en primeros auxilios, manejo manual, conocimientos en Aistear y Siolta, habilidades de enseñanza internacional"
5.0,senior,Hibrido,Ninguna,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Madrid,,,"Técnico de Licitaciones Análisis de licitaciones, preparación y presentación de documentación técnica y administrativa, coordinación con especialistas de producto, gestión de plataformas de contratación pública, interlocución con hospitales públicos y privados, mantenimiento del Registro de Licitadores, conocimiento del sector salud, conocimiento del Texto Refundido de la Ley de Contratos del Sector Público"
,,,Ninguna,Tecnología y telecomunicaciones,,,Madrid,,,Acude a nuestro evento para comerciales telefónicos 
0.0,intern,Presencial,FP Superior,Servicios,Jornada completa,,Madrid,,,"Técnico de Mantenimiento-Vallecas Ganas de aprender y desarrollarse, actitud positiva, trabajo en equipo, experiencia en mantenimiento industrial, curso con titulación oficial de operador/a de calderas"
2.0,junior,,FP Superior,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Madrid,,,"Cocinero/a. Contrato Indefinido. empáticos, responsables, innovación, comprometidos, ayuda al cliente"
1.0,junior,,FP Superior,Servicios,Temporal,,Madrid,,,"Cocinero/a Cocinas Centrales. Ref. SCCNR Organización, dirección, coordinación, formación de equipos, supervisión, elaboración de menús, buenas prácticas en cocina, trabajo en equipo"
,,Presencial,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Media jornada,,Madrid,10500.0,<15.000,"Terapeuta Ocupacional con/sin discapacidad - Residencia Parla Valoración de usuarios, atención a personas mayores, psicomotricidad, lenguaje, dinámicas de rehabilitación, evaluación interdisciplinar, control de material, planificación de actividades, animación de centro"
,,,Ninguna,"Viajes, turismo y hostelería",,,Madrid,,,"Supervisor de Tienda / Tercer encargado - Jornada completa - Getafe Experiencia en supervisión, habilidades de liderazgo y comunicación, capacidad para motivar e inspirar a los demás, compromiso de ofrecer un servicio excepcional al cliente"
1.0,junior,Presencial,Ninguna,Servicios,Temporal,,Madrid,14604.0,<15.000,"Personal Recepción con inglés CON DISCAPACIDAD SUSTITUCION Madrid Inglés, conocimientos informáticos (Excel, Word, centralita, Teams), atención al público, gestión de correo electrónico, atención telefónica, gestión de paquetería, colaboración con el Departamento de Administración, control de stock de material y consumibles, preparación de mochila de bienvenida, solicitud de viajes, gestión y preparación de salas para visitas"
3.0,senior,Presencial,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Madrid,,,"Consultor/Desarrollador Microsoft Power BI Power BI, modelado de datos, DAX avanzado, Power Query (ETL), visualizaciones interactivas, storytelling, diseño e implementación de arquitectura BI, integración, automatización de procesos, seguridad de datos, consultoría, entornos ágiles, habilidades comunicativas, analíticas, orientación a negocio"
2.0,junior,Presencial,Ninguna,Bienes de consumo,Jornada completa,,Madrid,16800.0,15.000-22.000,Oficial de Peluquería LLongueras Majadahonda Técnicas de peluquería
,,Presencial,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Madrid,20500.0,15.000-22.000,"Trabajador/a Social Con/Sin Discapacidad Residencia Parla Valoración social, familiar y personal, elaboración de planes de atención individualizada, atención a residentes y familiares, participación en reuniones del equipo interdisciplinar, desarrollo de programas específicos, colaboración en actividades organizadas, atención a necesidades sociales y administrativas, coordinación con profesionales y recursos del sistema de servicios sociales y sanitarios, seguimiento y visitas a personas usuarias en centros sanitarios, informar, orientar, asesorar y acompañar a la familia"
0.0,intern,Presencial,Ninguna,Economía y política,Jornada completa,,Madrid,,,"business developer F/H Vente, relation client, écoute active, compréhension des besoins, aisance téléphonique, rigueur, maîtrise des outils digitaux (CRM, téléphonie, etc.)"
5.0,senior,,Postgrado,Comercio minorista y comercio,Jornada completa,,Madrid,,,"Sales Director / Director Comercial MEA Liderazgo de equipos, estrategia comercial, gestión de P&L, transformación digital, gestión de múltiples mercados, habilidades interculturales, conocimiento de leyes locales y políticas corporativas, desarrollo de talento, gestión de canales de venta, colaboración interfuncional"
1.0,junior,Presencial,Ninguna,Servicios,Jornada completa,,Madrid,10800.0,<15.000,"Rcepcionista CON DISCAPACIDAD. Inglés alto. Inglés nivel B2/C1, ofimática nivel medio/alto, recepción y control de accesos, creación de tarjetas de acceso, gestión de salas, mensajería interna y externa, información relativa al centro y normativa"
0.0,intern,,Grado Universitario,Energía y medio ambiente,Prácticas,,Madrid,,,"Puestos vacantes: Prácticas Gobierno del Dato Power BI, Metodología de gestión de datos"
1.0,junior,Presencial,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Media jornada,,Madrid,51000.0,40.000-65.000,"Terapeuta Ocupacional con/sin discapacidad -FIN DE SEMANA, Centro de Día, Valoración y seguimiento de usuarios, atención a personas usuarias y familiares, actividades auxiliares de psicomotricidad, lenguaje, dinámicas y rehabilitación personal y social, colaboración en reuniones interdisciplinares, control y mantenimiento de material, planificación y desarrollo de la animación del centro, pedidos y control de material de terapia"
1.0,junior,,ESO,Servicios,Jornada completa,,Madrid,,,"Oficial de Sala de Juego en Collado Villalba Atención al cliente, control de accesos, gestión de cambios, supervisión de dispositivos y terminales, conocimientos en actualidad deportiva, manipulación de alimentos"
,,Presencial,Grado Universitario,Energía y medio ambiente,Prácticas,,Madrid,,,"Puestos vacantes: Beca Marketing PYMES Análisis de mercado, inglés C1, trabajo en equipo, conceptualización y definición de nuevos productos energéticos, seguimiento comercial"
2.0,junior,,Ninguna,Servicios,Temporal,,Madrid,,,"Cocinero/a. Ref SCCNR Técnicas culinarias, normas de higiene, trabajo en equipo, gestión del tiempo, adaptabilidad, creatividad"
3.0,senior,Presencial,Grado Universitario,Construcción,Prácticas,,Madrid,90000.0,80.000-100.000,"Manager - BCG Vantage- People & AI Insights & Innovation SQL, Python, ETL, VS Code, DBeaver, análisis de datos, comunicación, gestión de proyectos"
3.0,junior,,FP Superior,Internet,Jornada completa,,Madrid,,,"Electromecánico/a Vehículos Industriales electromecánica industrial y de vehículos, Electricidad"
1.0,junior,Hibrido,Ninguna,Tecnología y telecomunicaciones,Jornada completa,,Madrid,450000.0,>100.000,"Account Executive - Outbound B2B sales, CRM tools (e.g. HubSpot, SalesForce), sales automation software, inbound sales methodologies, content-driven sales techniques, negotiation, presentation, communication, consultative approach to selling, market research, competitor analysis, strong analytical skills"
5.0,senior,,Grado Universitario,Energía y medio ambiente,,,Madrid,,,"Puestos vacantes: Product Designer UX/UI Design, User centered design, Design thinking, Design system, usabilidad, accesibilidad, Sketch, Figma, Adobe Creative Suite"
0.0,senior,Presencial,ESO,"Viajes, turismo y hostelería",Contrato por obra,,Madrid,450.0,<15.000,"Administrativo/a en formación para gestoría de vehículos e importación Habilidades de comunicación y empatía, capacidad para aprender rápido, organización, responsabilidad, dominio de ofimática (Word, Excel, PowerPoint), conocimiento de idiomas extranjeros (catalán, inglés, francés, alemán)"
1.0,junior,,FP Superior,Medios de comunicación,,,Madrid,,,"Electromecánico/a de vehículos industriales Alta capacidad técnica en electromecánica de vehículos industriales, excelentes habilidades comunicativas y orientación al cliente, capacidad para detectar oportunidades de mejora en cada intervención, responsabilidad, autonomía y mentalidad de servicio, programación de autómatas (STC, FBD y Ladder)"
10.0,senior,Presencial,Grado Universitario,Servicios,Jornada completa,,Madrid,,,"Global Marketing Director – Health Care Marketing, Comunicación, Gestión de proyectos, Análisis estratégico, Liderazgo, Negociación, Trabajo en equipo, Curiosidad, Emprendimiento, Redes de marketing y comunicación"
0.0,intern,Presencial,Ninguna,Economía y política,Jornada completa,,Madrid,,,"téléconseiller F/H Vente, relation client, écoute active, compréhension des besoins, aisance téléphonique, rigueur, maîtrise des outils digitaux"
3.0,senior,Hibrido,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Madrid,,,"Customer Solutions Engineer Cliente-facings skills, gestión de stakeholders, habilidades de resolución de problemas estructurados, trabajo con datos, comunicación clara, inglés fluido"
,,Presencial,Grado Universitario,Servicios,Contrato por obra,,Madrid,,,"Técnico Unidad de Apoyo IT con DISCAPACIDAD Mejorada del campo Intervención sociolaboral, desarrollo de programas formativos, mediación en conflictos laborales, trabajo en equipo interdepartamental, comunicación efectiva, habilidades de liderazgo"
2.0,junior,,Ninguna,Servicios,Otro,,Madrid,,,"Gestión Sport Bar Torrejón de Ardoz gestión de negocios, liderazgo de equipos, atención al cliente, conocimientos en hostelería, restauración o salas de juego"
0.0,intern,,Grado Universitario,Energía y medio ambiente,Prácticas,,Madrid,,,"Puestos vacantes: Prácticas en Análisis y Tratamiento de datos Big Data, Power BI, SQL"
,,Presencial,FP Superior,Servicios,Jornada completa,"Opción a contrato indefinido, parking gratuito, uniforme proporcionado",Madrid,,,"Encargado Turno- CON DISCAPACIDAD. Mejorada del campo. FP2 o equivalente en estudios relacionados con procesos o industriales, experiencia en la gestión de equipos, capacidad de liderazgo, trabajo en entornos colaborativos, persona dinámica, proactiva y organizada"
2.0,junior,Presencial,FP Superior,Productos químicos y recursos,Jornada completa,,Madrid,,,"Jefe Producción en formación con discapacidad – Nivel territorial Comunicación, colaboración interdisciplinaria, liderazgo, gestión de equipos, mejora continua, sostenibilidad, innovación"
,senior,Presencial,Grado Universitario,Servicios,Jornada completa,,Madrid,,,"ENCARGADO/A DE LAVANDERÍA INDUSTRIAL CON DISCAPACIDAD BOADILLA DEL MONTE gestión de personas, supervisión de procesos de producción, conocimientos de paquete office, habilidades de comunicación, colaboración interdisciplinaria, conocimientos en PRL, autonomía de los trabajadores"
,,Presencial,Ninguna,Servicios,Temporal,,Madrid,,,"CONDUCTOR CARNET C CON DISCAPACIDAD BOADILLA DEL MONTE Ganas de aprender y desarrollarse, actitud positiva, trabajo en equipo, flexibilidad, capacidad para cargar peso y realizar movimientos repetitivos, disponibilidad de carnet de conducir B y vehículo propio"
1.0,junior,Presencial,FP Medio,Servicios,Jornada completa,,Madrid,20500.0,15.000-22.000,"MECÁNICO DE PRIMERA Ética de trabajo, atención al detalle, capacidad de cumplir con plazos establecidos, compromiso con el servicio al cliente, reparación de furgonetas"
